"Name","Instance ID","Role","Status"
"alertmanager-001","i-0bca3a2f7d15b0810","alertmanager","running"
"alertmanager-002","i-0073530e9a59ed98c","alertmanager","running"
"app-401","i-0de044647d8447d5f","app","running"
"app-410","i-0292302a57d842ca5","app","stopped"
"app-411","i-08548c04816d2451e","app","stopped"
"app-412","i-013173389ea671fda","app","stopped"
"app-413","i-00b859fa9f9af9f7e","app","stopped"
"app-414","i-0299a3a9f46a28c44","app","stopped"
"app-415","i-0c6a57803f5e1d987","app","stopped"
"app-416","i-0bc874aec401a410c","app","stopped"
"app-417","i-08ad29aeef601ce01","app","stopped"
"app-i-00bb01abc391ccd77","i-00bb01abc391ccd77","app","running"
"app-i-01077bde7c174bb1c","i-01077bde7c174bb1c","app","running"
"app-i-019f493d879a4f474","i-019f493d879a4f474","app","running"
"app-i-02955212f4edeabd0","i-02955212f4edeabd0","app","running"
"app-i-02fa403ddf403ceda","i-02fa403ddf403ceda","app","running"
"app-i-045c653fd310aef06","i-045c653fd310aef06","app","running"
"app-i-050dd1cf28b30f2da","i-050dd1cf28b30f2da","app","running"
"app-i-05fe3fe043f2ece1b","i-05fe3fe043f2ece1b","app","terminated"
"app-i-0752d3eb5bedaf4e0","i-0752d3eb5bedaf4e0","app","running"
"app-i-091e5c123891c52b8","i-091e5c123891c52b8","app","running"
"app-i-09f352c8736b51131","i-09f352c8736b51131","app","running"
"app-i-0a0c68f9a66f2e668","i-0a0c68f9a66f2e668","app","running"
"app-i-0c82f9192a1308d26","i-0c82f9192a1308d26","app","running"
"app-i-0cf55f9f57774b7aa","i-0cf55f9f57774b7aa","app","running"
"app-i-0e7fd961d318dba78","i-0e7fd961d318dba78","app","running"
"app-i-0ebb2be6df69b82a6","i-0ebb2be6df69b82a6","app","running"
"app-mobile-production-test-101","i-0d960043270e1be23","app-mobile-production-test,app-mobile","running"
"app-pantry-i-00aab713a758e8009","i-00aab713a758e8009","app-pantry","running"
"app-pantry-i-00d101598ecb7fe7c","i-00d101598ecb7fe7c","app-pantry","running"
"app-pantry-i-01a9df50251344775","i-01a9df50251344775","app-pantry","running"
"app-pantry-i-01e3a81388d9caf59","i-01e3a81388d9caf59","app-pantry","running"
"app-pantry-i-029c4a46761043d75","i-029c4a46761043d75","app-pantry","running"
"app-pantry-i-03f142548c08a64ba","i-03f142548c08a64ba","app-pantry","running"
"app-pantry-i-04afd87c596628aea","i-04afd87c596628aea","app-pantry","running"
"app-pantry-i-050fa0215534fca4e","i-050fa0215534fca4e","app-pantry","running"
"app-pantry-i-0511be85d54459bb9","i-0511be85d54459bb9","app-pantry","running"
"app-pantry-i-05d6ce3a2351875e4","i-05d6ce3a2351875e4","app-pantry","running"
"app-pantry-i-08a1c629a05df4a51","i-08a1c629a05df4a51","app-pantry","running"
"app-pantry-i-0a4d68803ba0fc110","i-0a4d68803ba0fc110","app-pantry","running"
"app-pantry-i-0a5bace67ae7552ed","i-0a5bace67ae7552ed","app-pantry","running"
"app-pantry-i-0bc5c2c29de23f35c","i-0bc5c2c29de23f35c","app-pantry","running"
"app-pantry-i-0c228eb70acbc3c6d","i-0c228eb70acbc3c6d","app-pantry","running"
"app-pantry-i-0e0149cb63c81a041","i-0e0149cb63c81a041","app-pantry","running"
"app-pantry-i-0ee56d60ddadc9f7b","i-0ee56d60ddadc9f7b","app-pantry","running"
"app-pantry-i-0f5fbef429d5b618a","i-0f5fbef429d5b618a","app-pantry","running"
"app-pantry-staging-002","i-023a9561fd7597b55","app-pantry-staging","running"
"app-papa-101","i-0add337a2f8b2ff69","app-papa","running"
"app-papa-102","i-0b1f9c83e6a8f309b","app-papa","running"
"app-screening-devel-001","i-6911686e","ozen-app","stopped"
"app-survey-101","i-6856729b","app-survey","running"
"app-sweets-devel-001","i-2b110429","ozen-app","stopped"
"app-toaster-devel-001","i-fed374fb","ozen-app","stopped"
"app-xenial-000","i-1dde2483","app","running"
"bargain-db-proxy-001","i-0b787db79ece658fd","bargain-db-proxy","stopped"
"bargain-db-proxy-002","i-0cf8c630a9a5e25f1","bargain-db-proxy","stopped"
"db-ad-201","i-0ffc4ad1847b60230","db-ad","running"
"db-ad-202","i-026fccdeb17e3961c","db-ad","running"
"db-album-staging-001","i-4e3357d1","db-album-staging","running"
"db-daizoo-devel-001","i-d92759df","ozen-db","stopped"
"db-device-guest-101","i-e71550fe","db-device-guest,query-digest","stopped"
"db-device-guest-102","i-4d0a4f54","db-device-guest","stopped"
"db-device-guest-201","i-06cdcb07f020e8a5e","db-device-guest","running"
"db-device-guest-202","i-061edec0c39b3a39c","db-device-guest","running"
"db-device-guest-free-001","i-7241a8ec","db-device-guest","stopped"
"db-device-guest-free-201","i-0b3bdcbe40940135d","db-device-guest","running"
"db-doorkeeper-301","i-036e2606500a496cb","db-doorkeeper","running"
"db-doorkeeper-302","i-04e1a0c2f5dc6e26f","db-doorkeeper","running"
"db-doorkeeper-401","i-0ad0509791547b102","db-doorkeeper","running"
"db-doorkeeper-402","i-0017f71976d044913","db-doorkeeper","running"
"db-doorkeeper-slave-301","i-0ea384516667c3358","db-doorkeeper-slave","running"
"db-doorkeeper-slave-401","i-01fe1fb07a642295d","db-doorkeeper-slave","running"
"db-hakari-001","i-31786332","db-hakari","stopped"
"db-hakari-work-001","i-06a6340873b17787d","db-hakari","stopped"
"db-induction-course-001","i-6f2da59a","","stopped"
"db-main-master-202","i-ebbd3f49","db-main-master","running"
"db-main-master-203","i-0236b44d77d502506","db-main-master","running"
"db-main-slave-201","i-0ad26180f43f79dda","db-main-slave","running"
"db-main-slave-202","i-0dfd8623e2ad6cad1","db-main-slave","running"
"db-main-slave-203","i-0e30ffd53c3a1216a","db-main-slave","running"
"db-main-slave-204","i-013de94d9da0036b0","db-main-slave","running"
"db-main-slave-cluster-201","i-092da33d666205f1d","db-main-slave-cluster","running"
"db-main-slave-cluster-202","i-08641ea9664b1cefb","db-main-slave-cluster","running"
"db-main-slave-free-001","i-378a8295","db-main-slave-free","running"
"db-main-slave-mysql56-utf8mb4-000","i-a75fd355","db-main-slave-backup","running"
"db-mfr-000","i-eebb221c","db-mfr-backup","running"
"db-mfr-201","i-0c38fca451df90a26","db-mfr","stopped"
"db-mfr-202","i-0aad7f9ecc8be82a3","db-mfr","running"
"db-mfr-203","i-0ca5610e5b5e305b9","db-mfr","running"
"db-mfr-204","i-04605402ca94e700e","db-mfr","running"
"db-mfr-205","i-09bd9d767f5a3eaf3","db-mfr","running"
"db-mfr-206","i-057a33403376d3bdd","db-mfr","running"
"db-mfr-401","i-0a52fe459f86e773c","db-mfr","running"
"db-mfr-402","i-0e02f56f7ec82b09e","db-mfr","running"
"db-mfr-403","i-053f08375e4c566f9","db-mfr","running"
"db-mfr-404","i-09a2828880cf817a9","db-mfr","running"
"db-mfr-405","i-0cadc12f5891fa0d9","db-mfr","running"
"db-mfr-slave-001","i-3877949d","db-mfr-slave","stopped"
"db-mfr-slave-101","i-072e75cfa5bdfcb31","db-mfr-slave","running"
"db-mfr-slave-analysis-000","i-aac9a958","db-mfr-backup","running"
"db-mfr-slave-analysis-201","i-0d63710d716d954fd","db-mfr-slave-analysis","running"
"db-mfr-slave-analysis-202","i-0eb1ebb16b7814bc1","db-mfr-slave-analysis","running"
"db-misc-101","i-0ee092568d8a4f33b","db-misc","running"
"db-misc-102","i-006563ac291de8fb4","db-misc","running"
"db-misc-master-003","i-0ed05781","db-misc","stopped"
"db-misc-master-004","i-ca388e55","db-misc","stopped"
"db-misc-master-005","i-24686fab","db-misc","stopped"
"db-multi-backup-101","i-0cdebefd526a95851","db-multi-backup","running"
"db-multi-slave-rbr-converter-mysql55-001","i-0c4180fe","db-multi-slave-rbr-converter-mysql55","stopped"
"db-notification-102","i-b87311a1","db-notification","stopped"
"db-notification-103","i-23e026ac","db-notification","stopped"
"db-notification-201","i-057ea4ce576abb07e","db-notification","running"
"db-notification-202","i-0271b6f1372988c3c","db-notification","running"
"db-notification-dummy-001","i-fb668a09","db-notification","stopped"
"db-papa-keyword-101","i-02a1a93563a72bd15","db-papa-keyword","running"
"db-payment-101","i-0b1480effd9b13c51","db-payment","running"
"db-payment-102","i-03e4ffdefed03478a","db-payment","running"
"db-payment-slave-101","i-08f83d1155965fdad","db-payment","running"
"db-push-notification-102","i-0a0838968e32e4e75","db-push-notification","running"
"db-push-notification-103","i-0efdecd1c10555a52","db-push-notification","running"
"db-push-notification-kuroko-201","i-0501c747998a2f7cc","db-push-notification","running"
"db-push-notification-mauser-001","i-0288751dd5fdf35de","db-push-notification","running"
"db-screening-devel-001","i-9a63f49d","ozen-db","stopped"
"db-suggest-101","i-04157efe80951cf50","db-suggest","running"
"db-suggest-102","i-0f9186afceebd1269","db-suggest","running"
"db-suggest-master-002","i-63585f63","db-suggest-master","stopped"
"db-suggest-master-003","i-f0f9b67f","db-suggest-master","stopped"
"db-summary-master-mysql56-001","i-72b66780","db-summary-master","running"
"db-summary-master-mysql56-003","i-0ee5d8a3e00e1ee10","db-summary-master","running"
"db-summary-slave-mysql56-000","i-76836784","db-summary-slave-backup","running"
"db-summary-slave-mysql56-cluster-001","i-7cfe198e","db-summary-slave-cluster","running"
"db-summary-slave-mysql56-cluster-002","i-e3cc4716","db-summary-slave-cluster","running"
"db-summary-slave-mysql56-free-001","i-0f386a4ab830a9d67","db-summary-slave-free","running"
"db-summary-slave-mysql56-partition-001","i-422933b1","db-summary-slave","running"
"db-summary-slave-mysql56-partition-002","i-317cf5c4","db-summary-slave","running"
"db-sweets-devel-001","i-60fff865","ozen-db","stopped"
"db-switcher-001","i-06997669be8086441","base","stopped"
"deepsecurity-201","i-0f5f5026d2c7dbd89","","running"
"dev-kaorimatz-001","i-004a0ccf034b3ab3e","base","running"
"dev-kaorimatz-002","i-0392787fec28fdea3","base","running"
"dev-naruta-001","i-19ec31bc","dev-naruta","stopped"
"dev-oishi-001","i-08cfd6105940eaff2","base","running"
"dev-sorah-101","i-25bf23aa","base","stopped"
"dev-sorah-debuild-001","i-17741e98","debuild","stopped"
"dev-sorah-gatling-001","i-0eb327fb","gatling","stopped"
"dev-sorah-rtmdev-101","i-910d8663","base","stopped"
"dev-sorah-rtmdev-201","i-230e85d1","base","stopped"
"dev-sorah-tmp-001","i-adf4f232","dev-sorah-tmp","stopped"
"dev-sorah-tmp-002","i-db818744","dev-sorah-tmp","stopped"
"dev-sorah-tmp-003","i-4c8c8ad3","dev-sorah-tmp","stopped"
"dev-sorah-xenial-002","i-5895e9d7","base","stopped"
"dev-sorah-xenial-002","i-3d176eb2","","stopped"
"dev-soraher-001","i-b9851a4c","base","stopped"
"ecs-aws-000","i-0c875d602be80082a","ecs","running"
"ecs-aws-g2-000","i-04ecdd1d8aaffb2b8","ecs","stopped"
"ecs-hako-dwh-app-i-0864c95ae767d3228","i-0864c95ae767d3228","ecs","running"
"ecs-hako-dwh-app-i-090300a1f285f2bd8","i-090300a1f285f2bd8","ecs","running"
"ecs-hako-dwh-batch-i-037c3c6bb37ea49b4","i-037c3c6bb37ea49b4","ecs","running"
"ecs-hako-dwh-batch-i-07fb2c7a5cec05806","i-07fb2c7a5cec05806","ecs","running"
"ecs-hako-dwh-batch-i-098e940eb3714c9d0","i-098e940eb3714c9d0","ecs","running"
"ecs-hako-infra-tools-i-008783f9d67674952","i-008783f9d67674952","ecs","running"
"ecs-hako-infra-tools-i-056b98811ddcca87b","i-056b98811ddcca87b","ecs","running"
"ecs-hako-infra-tools-i-07510b05e62de14e9","i-07510b05e62de14e9","ecs","running"
"ecs-hako-infra-tools-i-0c9208647f0e7756a","i-0c9208647f0e7756a","ecs","running"
"ecs-hako-infra-tools-i-0d783143671dfe414","i-0d783143671dfe414","ecs","running"
"ecs-hako-internal-g2-i-0259cae152aeb13a4","i-0259cae152aeb13a4","ecs","running"
"ecs-hako-internal-g2-i-0c9ebf907299ef62f","i-0c9ebf907299ef62f","ecs","stopped"
"ecs-hako-internal-i-00de779fbe1e06c48","i-00de779fbe1e06c48","ecs","running"
"ecs-hako-internal-i-025043569b9fe896d","i-025043569b9fe896d","ecs","running"
"ecs-hako-internal-i-03559eb5ddd6d2452","i-03559eb5ddd6d2452","ecs","running"
"ecs-hako-internal-i-03c0a3b783ce32e41","i-03c0a3b783ce32e41","ecs","running"
"ecs-hako-internal-i-03d951dd5cadd11f7","i-03d951dd5cadd11f7","ecs","running"
"ecs-hako-internal-i-04f02757a2b8fc0ee","i-04f02757a2b8fc0ee","ecs","running"
"ecs-hako-internal-i-05ea2282d80e39498","i-05ea2282d80e39498","ecs","running"
"ecs-hako-internal-i-068989854db3e9323","i-068989854db3e9323","ecs","running"
"ecs-hako-internal-i-071c21cfa4cc269bb","i-071c21cfa4cc269bb","ecs","running"
"ecs-hako-internal-i-077867a7aa3bb3e0a","i-077867a7aa3bb3e0a","ecs","running"
"ecs-hako-internal-i-07b6100c424715294","i-07b6100c424715294","ecs","running"
"ecs-hako-internal-i-081ea0f4b2141ed46","i-081ea0f4b2141ed46","ecs","running"
"ecs-hako-internal-i-082375df15369b061","i-082375df15369b061","ecs","running"
"ecs-hako-internal-i-08698d974f464967b","i-08698d974f464967b","ecs","running"
"ecs-hako-internal-i-087033fd244bdf0fa","i-087033fd244bdf0fa","ecs","running"
"ecs-hako-internal-i-0880dcf5b3b5c72cd","i-0880dcf5b3b5c72cd","ecs","running"
"ecs-hako-internal-i-08e0e3ed8be61872d","i-08e0e3ed8be61872d","ecs","running"
"ecs-hako-internal-i-08e990867c082e9d6","i-08e990867c082e9d6","ecs","running"
"ecs-hako-internal-i-0948ed7e41e4ba46f","i-0948ed7e41e4ba46f","ecs","running"
"ecs-hako-internal-i-094a6a300aaa760ca","i-094a6a300aaa760ca","ecs","running"
"ecs-hako-internal-i-09700ea291b025550","i-09700ea291b025550","ecs","running"
"ecs-hako-internal-i-09808141ac55189f9","i-09808141ac55189f9","ecs","running"
"ecs-hako-internal-i-098c5b35b8e580639","i-098c5b35b8e580639","ecs","running"
"ecs-hako-internal-i-09af7218b8f0bb80d","i-09af7218b8f0bb80d","ecs","running"
"ecs-hako-internal-i-0a88360d944af221a","i-0a88360d944af221a","ecs","running"
"ecs-hako-internal-i-0b4509e590426918b","i-0b4509e590426918b","ecs","running"
"ecs-hako-internal-i-0b9f596f4c6f31d65","i-0b9f596f4c6f31d65","ecs","running"
"ecs-hako-internal-i-0bcf5a3ce814e595e","i-0bcf5a3ce814e595e","ecs","running"
"ecs-hako-internal-i-0cf11fb0129a7a3ae","i-0cf11fb0129a7a3ae","ecs","running"
"ecs-hako-internal-i-0d696d31e53b4ed2b","i-0d696d31e53b4ed2b","ecs","running"
